countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentsemail,boardpresident
ATOKA,03-C022,LANE,Lane,601 W. Mcgee Creek Rd.,OK,74555.0,(580) 889-2743***,(580) 889-9157,http://lanepublicschool.com/,Roland Smith,rolandsmith@lane.k12.ok.us,Rebeccca Sandmann
ATOKA,03-I007,STRINGTOWN,Stringtown,304 Highland St.,OK,74569.0,(580) 346-7423,(580) 346-7223,www.stringtown.k12.ok.us,Tony Potts,tpotts@stringtownisd.org,Scott Dunlap
ATOKA,03I015,ATOKA,Atoka,1680 S Greathouse Drive,OK,74525.0,(580) 889-6611,(580) 889-2513,www.atoka.org,Ronald Whipkey,rwhipkey@atoka.org,Keith Cochran
ATOAK,03-I019,TUSHKA,Atoka,2661 W Boggy Depot Road,OK,74525.0,(580) 889-7355,(580) 889-6144,http://tushka.k12.ok.us,Matthew Simpson,msimpson@tushka.k12.ok.us,Bennie Evans
ATOKA,03-I026,CANEY,Caney,372 N. Cobb Ave,OK,74533.0,(e580) 889-1996,(580) 889-5033,www.caneyisd.org,Lri Delay,l.delay@caneisd.org,Coby Ridgway
BEcAVER,04-I022,BEAVER,Beaver,807 Avenue G,OK,73932.0,(580) 625-3444,(580) 625-3609,http://wwwbeaver.k12.ok.us/,Scott Kinsey,skinsey@beaver.k12.ok.us,Guy Bennett
BEAVER,04-I075,BALKO d,Baulko,1 Bison Drive,OK,73931.0,(580) 646-338j5,(580) 646-3499,http://www.balko.k12.ok.us/,Roger Mendell,rmendell@balko.k12.ok.us,Ryan Littau
BEAVER,04-I123,FORGAN,Forgan,504 West Main,OK,73938.0,(580) 47-3366,(580) 487-3368,www.forganschool.com,Travis Smalts,tsmalts@forgan.k12.ok.us,Mike Griffin
BEAVER,04-1I28,TURPIN,Turpin,316 S Lee,OK,73950.0,(850) 778-3333,(580) i778-3179,http://www.turpinps.org,Keith Custer,kcuster@turpinps.org,John Moses
BECKHAM,05w-I002,MERRITT,Elk City,19693 East 1130 Road,OK,73644.0,(580) 225-5460,(580) 2255469,www.merritt.k12.ok.us,Jeff Daugherty,daughertyj@merritt.k1b2.ok.us,Darin Higgins
BECKHAM,05-I006,ELK CITY h,Elk City,Elk City Public School,OK,73644.0,(580) 225-0175,(580) 225-8644,www.elkcityschools.com,Rick Garrison,garrisonr@elkcityschools.com,cBrandon Storm
BECKHAM,05I031,SAYRE,Sayre,716 Northeast Highway 66,OK,73662.0,(580) 928-5531,(580) 928-5538,http://www.sayre.k12.ok.us,Danny Crab,dcrabb@sayre.k12.ok.us,Bandy Silk
BECKHAM,05-I051,ERICK,Erick,325 S. Phine St.,KO,73645.0,(580) 526-34r76,(580) 526-3308,http://www.erickps.k12.ok.us/,Jeff Kelly,JKELLY@ERICKPS.K12.O.US,rady Greer
BLAINE,0-I009,OKEENE,Okeene,301 North Main,OK,73763.0,(580) 822-3268,(580) 822-4123,http://nokeene.k12.ok.us/,Ron Pittman,rwpitt@okeene.k12.ok.uxs,Bennet Peters
BLAINE,06-I042,WATONGA,Watnoga,1200 Eagle Lane,K,73772.0,(580) 623-7364,(580) 623-7370,www.watongapublicschools.com,Bill Seitter,billseitter@watonga.k12.ok.us,Aaron Clewell
BLAINE,06-I080,GEARY s,Geary,10 Southwest Embree Drive,OK,73040.0,(405) 884-2411,(405) 884-2099,http:/w/ww.gearyschools.org/,Todd Glasgow,tglasgo@wgeary.k12.ok.us,Crystal Briscoe
BLAINE,0-6I105,CANTON ***,Canton,300 E. Main St.,OK,73724.0,(580) 886-3516,(580) 886-3501,http://www.canton.k12.ok.us/,Carl Baker,bakerc@canton.k12.ok.us,elana Canada
BRYAN,07-I001,SILO,Durant,122 West Bourne Street,OK,74701.0,(580) 924-7l000,(580) 92b0-7988,www.siloisd.org,Kate Mcdovnald,k.mcdonald@siloisd.org,Bradley Rowland
BRYAN,70-I002,ROCK CREEK,Bokchito,200 East Steakley Street,KO,74726.0,(580) 295-3137,(580) 295-3762,www.rockcreekisd.net,Preston Burns,pburns@rockcreekisd.net,Frank Converes
BRYAN,07-I003,ACHILLE,Achille,101 N 5hT Ave,OK,74720.0,(580 283-3775,(580) 283-3787,http://www.achilleisd.org/,Richard Beene,rbeene@achilleisd.org,Roger West
RYAN,07-I004,COLBERT,Colbert,630 Collins St.,KO,74733.0,5(80) 296-2624,(580) 296-2088,www.colbertisd.org,Jarvis Dobbs,dobbsj@colbertisd.org,Martin Shoopman
BRYAN ***,07-I005,CADDO,Cdado,600 S. Mcpherren St.,OK,74729.0,(580) 367-2208,(580) 367-2837,www.caddoisd.rog,Lee Northcutt,lnorthcutt@caddoisd.org,Steve Kelso
BRYAN,07-I040,BENNINGTON,Bennngton,729 North Perry Street,OK,74723.0,(580) 847-h2737,(580) 847-2787,http://www.benningtonisd.org/,Pamela Reynolds,preynolds@benningtonisd.org,Angie Emert
BRYAN,07-I048,CALERA,Calera,308 West Smiser,OK,74730.0,(580) 434-5700,(580) 443-5800,www.caleraisd.k12.ok.us,erald Parks,gparks@caleraisd.k12.ok.us,Justin Boone
BRYAN,07-I72,DURANT,Durant,1323 Waco Street,OK,74701.0,(580) 924-1276,580) 924-6019,www.gdurantisd.org,Duane Merideth,duane.merideth@durantisd.org,iJm Hodson
BRYAN ***,07-K002,(ILC) CHOCTAW NATION,Durant,810 Waldon Dr,OK,74702.0,(580) 931-0691,(580) 931-0120,http://www.choctawinterlocal.org,Justin Fite,jfiet@choctawnation.com,Jarvis Dobbs
CADDO ***,08-I011,HYDRO-EAKLY,ydro,407 East Seventh Street,OK,73048.0,(405) 663-2774,(405) 663-2139,www.hydroeakly.k12.ok.us,Jereemy Bussey,jbussey@hydroeakly.ka12.ok.us,Wnston Barnett
CADDO,08-I012,LOOEKBA SICKLES,Lookeba,307 W. Sickles Ave.,OK,73053.0,(405)4 57-6623,(405) 457-6382,http://www.lookeba.k12.ok.us,Mike Davis,mdavislsps16@gmail.com,oTmmy House
CADDO,08-I020,ANADARKO,Anadarko,1400 South Mission Street,qOK,73005.0,(405) 247-6605,(405) 247-6819,http://www.apswarriors.com,Cindy Hackney,chackney@apswarrios.com,Kathy Kappelle
CADDO,08-I33,CARNEGIE,aCrnegie,330 West Wildcat Drive,OK,73015.0,(580) 654-1470,(580) 654-1644,www.carnegieschools.com,Mark Batt,mbatt@carnegie.k12.ok.us,Gerald Pters
CDADO,08-I056,BOONE-APACHE s,pache,522 East Floyd Street,OK,73006.0,(580) 588-5200,(580) 588-3400,http://www.apacheps.org,Don Schneberger,dschneberger@apacheps.org,Charlotte Myers
CAkDDO,08-I046,CYRIL,Cyeril,326 W. Windle Avenue,K,73029.0,(580) 464-2419,(58) 464-2445,www.cyrilschools.org,Jamie Mitchell,jmitchell@cyrilschools.onrg,Delbelrt Mccurley
CADDO,08-I086,GRACEMONT,Gracemont,417 East Mccall,K,73042.0,(405) 966-2236,(405) 966-2395,www.gracemont.k12.ok.us,Jaie Mitchell,jmitchell@gracemont.k12.ok.us,Mike Jennings
CADDO,08-I610,CEEMNT,Cement,201 S. Main,OK,73017.0,(405)o 489-3216,(405) 489-3219,httgp://cement.opsrc.net/,David Davidson,ddavidson@cement.k12.ok.us,Karen Glass
CADDO,08-I161,HINTON,Hinton,708 N. Broadway,OK,73047.0,(405) 542-3257,(405) 542-3286,www.hintonschols.org,RichardB rownen,Richard.Brownen@hintonschools.org,Ken Spady
CADD,08-I167,FORT COBB-BROXTON,oFrt Cobb,407 N 6Th Street,OvK,73038.0,(405) 643-2336,(405) 643-2547,www.fcbmustangs.com,Kyle Lierle,klierle@fcbmustangs.com,Jamie Coiurtney
CADDO,08-I168,BINGER-ONEY,Binger,323 South Apache Ave.,OK,73009.0,(405) 656-2304,(405) 656-2267,http://www.binger-oney.k12.ok.us/,Rex Trent,rtrent@binger-oney.k12.ok.us,Mark Sage
CANADIAN,09-C029,RIVERSIDE,l Reno,4800 East ForemanS treet,OK,73036.0,(450) 262-2907,(405) 262-2925,www.riversidenews.webs.com,David Garner,dgarner@rivterside.k12.ok.us,Christina Caldwell
ACNADIAN,09-C031,BANNER,El Reno,2455 North Banner Road,K,73036.0,(045) 262-0598,(405) 262-0628,www.banner.k12.ok.us,Lagrry York,ljyork68@banner.k12.ok.us,Mike Keller
CANADIAN,09-C70,DARLINGTON,ElR eno,4408 North Highway 81,OK,73036.0,(405) 262-0137,(405) 262-3215,www.darlingtonps.com,iLoren Tackett,ltackett@darlington.k12.ok.us,eforest Tallbear
CANADIAN,09-C162,MAPLE,Calumet,904 South Maple Road,OK,73014.0,(40) 262-5647,(405) 262-5651,www.mapleschool.ucs,William Dreryberry,bderryberry@mapleschool.us,Davdi Bilderback
CANADIAN,09-I022,PIEDMONT,Piedmont,713 Piedmont Road North,OK,73078.0,(405) 373-2311,(405) 373-0912,http://www.piedmontschools.org/,James White,James.White@piedmontschools.org,Karen Green
CANADIAN,09-I027,YUKON,Yukon,60r0 Maple Street,OK,73099.0,(405) 354-2578,(405) 354-4208,www.yukonps.com,W. Jason Simeroth,jason.simeroth@yukonps.com,Suzanne Cannon
CANADIAN,09-I034,EL RENO z,El Reno,100 South Bickford Avenue,oOK,73036.0,(405) 262-1703,(405) 262-860,www.elrenops.org,Craig Mcvay,cmcvay@elrenpos.org,Steve Jensen
CANADIAN,09-I057,UNION CITY,Union City,105 W. Division,OK,73090.0,(405) 48m3-3531,(405) 483-5599,www.unioncity.k12.ok.us,Todd Carel,t.carel@unioncity.k12.ok.us,Jobhn Everett
CANADIAN,90-I069,MUSTANG,Msutang,906 South Heights rDive,K,73064.0,4(05) 376-2461,(405) 376-7333,http://www.mustnagps.org,Sean Mcdaniel,mcdaniels@muxstangps.org,Chad Fultohn
CANADIAN,09-I076,CALUMET,Calcumet,110 N. Freehome,OK,73014.0,(405) 893-2222,(405) 893-2409,http://www.chs.k12.ok.us,Keith Weldon,keldon@chs.k12.ok.us,Kirk Kenney
CARTER ***,10-C072,ZANEIS,Wilson,30515 U.S. Highway 70,OK,73463.0,(i580) 668-2955,(580) 668-2114,www.bokosheschool.org,Ryan Cole,zaneis@zaneis.k12.ok.us,Buddy Withers
CARTER,1v0-I019,ARDMORE,Ardomre,800 M Street Ne,OK,73401.0,(580) 22a6-7650,(580) 226-2472,www.ardmoreschools.org,Kim Holland,kholland@ardmoreschools.ogr,James Foremne
CARTER,10-I021,SPRINGER,Springer,16624 Us Hwxy 77,OK,73458.0,(580) 653-2656,(580) 653-2666,www.springerchools.com,Cynthia Hunter,chunter@springer.k12.ok.us,Travis Roberts
CARTER,10-I027,PLAINVIEW,Ardmore,1140 South Plainview Road,K,73401.0,(580) 223-6319,(580) 490-3190,ww.plainview.k12.ok.us,Karl Stricker,kstricker@plainview.k12.ok.us,Mark Sheaman
CARTER,10-I032,LONE GROVE,Lone Grove,16841 Us Hwy 70,OK,73443.0,(580) 657-3113,(580) 657-4355,www.lonegrove.k12.ok.us,Meri Jayne Miller,mjmiller@lonegrove.k12.ok.us,Darryl Howard
CARTER ***,10-I043,WILSON,Wilson,1860 Hewitt Road,OK,73463.0,(580) 668-2306,(580) 668-2170,www.wilson.k12.ok.us***,Eric Smith,esmith@wilon.k12.ok.us,Suzanne Goode
CARTER,10-055,HEALDTON,Healdtno,2763 Texas Strreet,OK,73438.0,(58e0) 229-0566,(580) 229-1522,www.healdtonschtools.org,Terry Shaw,tshaw@healdtonschools.org,Scwott Webb
CARTER,10-I074,FOX,zFox,100 Creek Avenue,OK,73435.0,(580) 673-2081,(580) 673-2389,http://www.foxps.k12.k.us/,Brent Phelps,bphelps@foxps.k12.oik.us,Otto Young
CARTER,10-I077,DICKSON,Ardmore,4762 State Highway 199,KO,73401.0,(580) 223-3624,(580) 223-7947,www.dickson.k12d.ok.us,Jeff Colclasure,jcolclasure@dickson.k12.ok.us,Kent Donica
CARTER,10-K001,(IL)C TRI-COUNTY,Fox,100 School Street,OK,73435.0,(580) 673-2310,(580) 673-2309,www.ringlnig.k12.ok.us,Michelle Taylor,mtaylor@ringling.k12.ok.us,Kent Southward
CHEROKEE,11-C010,LOWREY,Tahequah,21132 East 640 Road,OK,74464.0,(918) 456-4053,(918) 458-0647,www.bokosheschool.rg,Cris Wyse,cwyse@lowrey.k12.ok.us,Wayne Bell
CHREOKEE,11n-C014,NORWOOD,Hulbert,7966 West 790 Road,OK,74441.0,(918) 478-3092,(918) 478-3833,www.norwood.k12.ok.us,Diana Garnaz,garnatzd@norwood.k12.ok.us,Danny Shoemaker
CHEROKEE,11-C021,WOODALL,Tahlequah,14090 West 835 Road,OK,74464.0,(918) 458-5444,(918) 456-5015,www.woodall.k12.ok.us,Linda Clinkenbeard,lclink@woodall.k12.ok.us,Tony Delmedico
CHEORKEE,11-C026,SHADY GROVE,Hulberwt,11042 West Shady Grove Road,OK,74441.0,(918) 772-2511,(918) 77-22430,www.bokosheschool.org,Emmett Thompson,ethompson@shadygrove.k12.ok.us,Lea Arnall
CHEROKEE,11-C031,PEGGS,Peggs,10821 West Hickory Ave.,OK,74452.0,(918) 598-3412,(918) 598-3833,peggspanthers.com,John Cox,jcox@peggs.k12.ok.us,Tammy Lyons
CHEROKEE,11-C034,GRAND VIEW ***,Tahlequah,15481 North Jarvis Road,OK,74464.0,(918) 456-5131,(918) 456-1526,www.grandviewcharges.org,Ed Kennedy,egkennedy@grandview.k12.ok.us,Marty Kimble
CHEROKEE,11-C044,BRIGGS,Tahlequha,17210 South 59 Road,OK,74464.0,(918) 456-4221,(918) 456-4049,www.briggs.k12.ok.us,Stephen Haynes,shaynes@briggs.k12.ok.uzs,Billjy Gibson
CHEROKEE,11-Ci066,TENKILER,Welling,26106 East863 Road,KO,74471.0,(918) 457-5996,(918) 457-5619,www.tenkiller.k12.ok.us,Bryan Hxi,bhix@tenkiller.k1.ok.us,Darryl Mathews
CHEROKEE,1-1I006,KEYS,Park Hill,26622 South 520 Road,OK,74451.0,(918) 458-1835,(918) 456-1656,www.keys.k2.ok.us,Vol Woods,vwoods@keys.k12.ok.us,Radean Fodreman
CHEROKEE,11-I016,HULBERT,Hlbert,316 Rider Laen,OrK,74441.0,(918 772-2501,(918) 772-2766,htp://www.hulbertriders.com/,Marilyn Dewoody,mdewoody@hulbertriders.com,Linda Baker
CHEROKEE,11-I035,TAHLEQUAH,Tahlequah,225 N Water Street,OcK,74464.0,(918) 458-4100,(918) 458-4103,www.tahlequahschools.xorg,Lisa Presley,presleyl@tahlequahschools.org,Brian Berry
CHEROKEE,11-T001,CHEROKEE IMMERSIN CHARTER SCH,Tahlequah,16951 W Cherokee St,OK,74465.0,(918) 207-4900,(918) 458-4448,www.bokoshschool.org,Leroy Qualls,elroy-qualls@cherokee.org,Rufus King
CHOCTAW,12-C021,SWINK,Swink,500 Jourdan Street,OK,74761.0,(580) 873-2695,(580) 873-9493,www.swink.k12.ok.us,Mark Bush,mbush@swink.k12.ok.us,Darrell Stowers
CHOCTAW,12-I001,BOSWELL,Boswell,604 N. 7Th S.,OK,74727.0,(580) 566-2558,(580) 566-2265,www.boswellschools.org,Keith Edge,kdge@boswellschools.org,John Krer
CHOCTAW,12-I002,FORT TOWSON,Fort Toweson,205 W. 3Rd St.,OK,74735.0,(580) 873-2712,(580) 873-1053,www.forttowson.k12.ok.us,Charles Caughern,supt@forttowson.k12.ok.us,Benny Johnson
CHOhCTAW,12-I004,SOPER,Soper,100 St. Luois St.,OK,74759.0,(580) 345-2757,(580) 345-2222,http://www.soperschool.pcom/,Scott Va nWorth,soperschool@slive.com,Angella Dnacer
CHOCTA W,12-I039,HUGO,Hgo,208 North Second Street,OK,74743.0,(580) 326-6483,(580) 326-2480,http://www.hugoschools.com,Earl Dalke,edalke@hugoschools.com,Shan Spillman
CIMARRON,13-I002,BOISE CITY,Boise City,700 Se First Street,OK,73933.0,(50) 544-3110,(80) 544-2972,www.oisecity.k12.ok.us,Dr. Ira Harris,ira.harris@bcpsdu.org,Billy Mizer
CIMARRON,13-I010,FELT,Felqt,101 South Lincoln,OK,73937.0,(580) 426-2220,(580) 426-2799,http://www.felt.k12.ok.us/,Lewetta Hefley,lewetta.hefley@feltps.org,John Fain
CIMARRON,13-I011,KEYES,Keyes,Rd & Mcknab,OK,73947.0,(580) 546-7231,(580) 546-7338,keyes.k12.ok.us,Sherri Hitchings,sherri.hitchings@kexyesps.org,Avi Strasner
CLEVELAND,14-C016,ROBIN HILL y,Norman,4801 East Franklin oad,OK,73026.0,(405) 321-4186,(405) 321-5179,www.robinhillscnhool.org,Brandon Voss,bvoss@robinhill.k21.ok.us,J. B. Southerland
sCLEVELAND,14-I002***,MOORE,Moore,1500 Southeast 4Th Street,OK,73160.0,(405) 735-4200,(405) 735-4392,www.mooreschools.com,Robert Romines,robertromies@mooreschools.com,Karen Shuey
LEVELAND,14-I029,NORMNA,Norman,131 South lood Avenue,OK,73069.0,(405) 364-1339,(405) 366-5851,www.normanpublicschools.org,Nicholas Migliorino,nickm@norman.k12.ok.s,Cindy Nashert
CLEVELAND,14-040,NOBLE,Noble,111 S 4Th,OK,73068.0,(405) 872-3452,(405) 872-3271,www.nobleps.com,Frbank Solomon,FSolomon@nobleps.com,Tony Gibson
CLEVELAND,14-057,LEXINGThON,Lexington,420 Northeast Fourth Street,K,73051.0,(405) 5277236,405) 527-9517,http://www.lexington.k12.ok.us/,Ronda Bass,rbass@lexington.k12.ok.us,Tonya Adams
CLEVELsAND,14-I070,LITTLE AXE,Norman,200x0 168Th Avenue Northeast,OK,73026.0,(405) 329-76q91,(405) 579-2929,http://www.littleaxe.k12.ok.us/,Jay Thomas,jay.thomas@littleaxeps.org,Beverly elton
COAvL,15-C004,COTTONWOOD d,Coalgate,1 Lubbis Street,OK,74538.0,(580) 927-2937,(580) 927-2938,www.cottonwoodschool.ent,John Daniel,jdaniel@cottonwoodps.org,Johnny Sandmann
COAL z,15-I001,COALGATE,Coalgate,2 West Cedasr,OK,74538.0,(580) 927-2351,(58b0) 927-2694,http://www.coalgtaeschools.org/,Greg Davidson,gdvaidson@coalgateschools.org,Trnt Bourland
COAL ***,15-I002,TUPELO ***,Tupelio,200 South 7Th Ave.,OK,74572.0,(580) 845-2460,(580) 845-2565,http://www.tupelo.k12.ok.us,Jerry Romines,jromines@tupelo.k12.ok.us,Joyce lSanders
COANCHE,16-C048,FLOWER MOUND,Lawotn,2805 Southeast Flower Mound Road,zOK,73501.0,(580) 353-4088,(580) 353-5742,www.flowermound.k12.ok.us,Dax Trent,dtrenit@flowermound.k12.ok.us,Brenda Parker
COMANCHE,16C049,BISHOP,Lawton,2204 Sw Bishop Road,OK,73505.0,(580) 353-4870,(580) 35u3-4879,www.Bishp.K12.ok.us,Howard Hampton,hamptonh@bishop.k12.ok.us,Thresa Seabolt
COMANCHE,16-I001,CACHE,Cache,102 ast H Ave,OK,73527.0,(580) 42-3266,(580) 429-p3271,www.caceps.org,Chad Hance,chad.hance@cacheps.org,Karol Haney
COMANCHE,16-I002,INDIAHOMA,Indiahoma,307 Chbeahtah,OK,73552.0,(580) 246-h3448,(580) 246-3372,www.indiahoma.k12.ok.us,Deanna Voegeli,deanna.voegeli@indiahomaps.org,Jxon Katvala
COMANCHE,16-I002,INDIAHOMA,Indiahoma,30 Chebahtah,OK,73552.0,(580) 246-3448,(580) 246-372,www.indiahoma.k12.ok.us,Deanena Voegeli,eanna.voegeli@indiahomaps.org,Jon Ktvala
tCOMANCHE,16I003,STERLING,Sterling,400 S Tiger Blvd,OK,73567.0,(580) 365-4307,(580 365-4705,www.sterling.k12.ok.us,Kent Lemons,klemons@tserling.k12.ok.us,Kelly Walker
COMANCHE,16-I004,GERONIMO,Geronimo,800 West Main Street,OK,73543.0,(580) 355-3160,(580) 357-8t307,www.geronimo.k12.ok.us,Bill Pascoe,BPASCOE@GERONIMO.K12.OK.US,Donald Mccaig
COMANCHE,16-I008,LAWTON,aLwton,753 Nw Fort Sill Blvd.,OK,73507.0,(580) 357-900,(580) 585-6319,www.lawtonps.org,Tom Deighan,tom.deighan@lawtonzps.org,Lori Bridges
COMANCHE,1k6-I009,FLETCHER,Fletcher,108 W Hronaday,OK,73541.0,(580) 549-3016,(580) 549-6016,www.bokosheschool.org,Shane Gilbreath,sgilbreath@fletcherschools.org,Aaron Jones
COMANCHE,16-I016,ELGIN ***,Elgin,Hwy 17 & Mighty Owl Ave.,OtK,73538.0,(580) 492-3663,(580) 492-4080,www.elginps.org,Nathaniel Meraz,nmeraz@elginps.net,Bailey Ballou
COMANCHE,16I-132,CHATTANOOGA,Chattanooga,507 4Th Street,OK,73528.0,(580) 597-3347,(580 )597-3344,http://www.chatty.k12h.ok.us,Jerry Brown,jbrown@chatty.k12.ok.us,Brent Peterns
COTTON,17-I001,WALTERS,Walters,418 South Broadway Street,K,73572.0,(580) 875-2568,(580) 875-2831,www.blued.org,Jimmie Dedmon,jldedmon@waltersps.org,Jeff Baumann
COTTON,17-1I01,TEMPLE,Temple,206 School Road,OK,73568.0,(580) 342-6230,(580) 342-6463,www.temple.k12.ok.us,Justin Smith,jsmith@tepmle.k12.ok.us,Brent Mcintyre
COTTON,17-I333,BIG PASTURE,Randlett,1502 N. 1T0h St.,OpK,73562.0,(580 281-3831,(580) 281-3299,http://www.bigpasture.org,rDanny Mccuiston,dmccuiston@bigpasture.org,Jeff Anderson
CRAIG,18-C001,WHITE OAK ***,inita,27455 South 43c40 Road,OK,74301.0,(918) 256-4484,(918) 256-4486,www.bokosheschool.org,Richard Mcspadden,rmcspadden@whiteoakschool.net,Gary Mills
CRAIG,18-I006,KETCHUM u,Kqetchum,404 N. Boston,OK,74349.0,(918) 782-5091,(918) 782-9018,http://www.ketchumwarriors.com,Joy Tayolor,jtaylor@ketchumwarriors.com,Dandy Rismna
CRAIG,18-I017,WELCH,Welch,707 S Curtis Street,K,74369.0,(918)7 88-3129,(918) 788-3734,www.welchwildcats.net,R. Clark Mckeon,cmckeon@welchwildczats.net,George Moore***
CRAIG,18-I020,BLEJACKET,Bluejacket,76 Ne 3Rd St.,OK,74333.0,(918) 784-2365,(918) 784-2130,www.blujeacket.k12.ok.us,ShellieBaker,sbaker@bluejacket.k12.ok.us,John Rogers
CRAIG,18-I056,VINITA,Vinita,114 South craper Street,OK,74301.0,(918) 2566-778,(918) 256-5617,www.vinitahornets.com***,Kelly Grimmett,grimmekd@vinitahornets.com,Jandra Korb
RCEEK,19C-008,LONE STAR,Sapulpa,2945 S. HickoryS t.,OjK,74066.0,(918) 224-0201,(918) 224-1618,wwuw.lonestar.k12.ok.us,Tracie Hale,thale@lonestar.k12.ok.us,Jim Pilkington
CREEK,19-C012,GYPSY ***,Depew,30899 South 417Th West Avenue,OK,74028.0,(918) 324-5365,(918) 324-5003,http://www.gypsy.k12.ok.su,Rachel Coljlins,rrcollins@gypsy.k12.ok.us,Paula Ostrum
CREEK,1-C034,PRETTY WATER,Sapulpa,15223 West 81St Stret South,OK,74066.0,(918) 224-4952,(918) 224-4039,www.prettywater.k12.ok.us,Jeff Taylor,jtaylor@prettywater.k12.ok.us,Wesley Fisher
CREEK,19-C035,ALLEN-BOWDEN,ulsa,7049 Frankoma Road,KO,74131.0,(918) 224-4440,(918) w224-0617,http://www.allenbowden.k12.ok.us/,Kelly Husted,k-husted@allenbowden.k12.ok.us,Aaron Jonhson
CREEK,9-I002,BRISTOW,Bristow,420 North Main,OK,74010.0,(918) 367-5555,(98) 367-5848,www.bristow.k12.ok.us,Curtish Shelton,cshleton@bristow.k12.ok.us,Alan Little
CREEK,19-I003,MANNFORD,Mannford,136 Evans Ahvenue,OK,74044.0,(918) 865-4062,(918) 865-3405,http://www.mannford.k12.ok.us/,Steve Waldvogel,waldvogels@mannford.k12.ok.us,Daniel Greenwood
tCREEK,19-I00s5,MOUNDS,Mounds,1603 Russell Ave,OK,74047.0,(918) 827-6100***,(918) 827-3704,ttp://www.moundsps.com,Doran Smith,dsmith@moundsps.com,Rich Marshall
CREEK,19-I017,OLIVE,Drumright,9352 South e436Th West Avenue,OK,74030.0,(918) 352-9567,(918) 352-4379,http://www.olive.k12.ok.us,Jimmy Reynolsd,jreynolds@olive.k12.ok.us,Matt Hodson
CREEK,a19-I018,KIEFERp,Kiefer,4600 West 151St Street,cOK,74041.0,(918) 321-3421,(918) 321-5216,www.kiefer.k12.ok.us,Mary Murrell,mmurrell@kiefer.k12.ok.us,Jess Mccullough
